"","Estrato","nCong","nSit","yi","ai","yi2","yiai","ai2","ER_Carboles","Prom_ai","SdER_Carboles","U_Carboles"
"1","BC",8,28,41.34834062,1.12,89.101456909182,1.6539336248,0.0448,36.9181612678571,0.14,5.05448345978757,26.8344555659358
"2","BCO/P",4404,16800,22367.34319889,672,63227.4654960074,894.6937279556,26.88,33.2847369031101,0.152588555858311,0.272184850402866,1.60278360722079
"3","BCO/S",1137,4203,4011.29000433,168.12,88888.7282755106,160.4516001732,6.7248,23.8596835851178,0.147862796833773,1.7355431089235,14.2569555935428
"4","BE/P",3365,12756,10819.6611175,510.24,80942.6160360435,432.7864447,20.4096,21.2050429552759,0.151631500742942,0.52510659814528,4.85360456253486
"5","BE/S",1466,5477,3293.85195305,219.08,9278.67910522978,131.754078122,8.7632,15.0349276659211,0.149440654843111,0.390068077225474,5.08504894968571
"6","BM/P",357,1145,2291.75063575,45.8,21883.9609614186,91.67002543,1.832,50.0382234879913,0.128291316526611,2.87559995507133,11.2637410344763
"7","BM/S",160,553,814.18401886,22.12,85635.5026082785,32.5673607544,0.8848,36.8075957893309,0.13825,13.1777762344185,70.1714982072992
"8","EOTL/P",32,123,41.99733245,4.92,97.4348444966213,1.679893298,0.1968,8.53604318089431,0.15375,1.88242211097596,43.223156904489
"9","EOTL/S",31,120,27.61010551,4.8,20.0681163568548,1.1044042204,0.192,5.75210531458333,0.154838709677419,0.784303731922177,26.7247421682303
"10","EOTnL/P",3,12,0.01719024,0.48,0.0001942648023296,0.0006876096,0.0192,0.035813,0.16,0.0332328667994251,181.879258724132
"11","MXL/P",1484,5811,387.25190409,232.44,198.085457762572,15.4900761636,9.2976,1.66602953058854,0.156630727762803,0.0564873357113735,6.64545111365349
"12","MXL/S",198,767,36.76641434,30.68,17.2401424230393,1.4706565736,1.2272,1.19838377900913,0.154949494949495,0.128557607117701,21.026061464136
"13","MXnL/P",864,3452,29.78700719,138.08,6.45523627882715,1.1914802876,5.5232,0.215722821480301,0.159814814814815,0.0180407141677111,16.3913115571514
"14","MXnL/S",81,324,4.82004127,12.96,2.26880135722698,0.1928016508,0.5184,0.371916764660494,0.16,0.11508453072835,60.6495059273475
"15","P",1806,7223,1410.43895722,288.92,2395.43892533875,56.4175582888,11.5568,4.88176296974941,0.159977851605759,0.159408995399795,6.40018028158456
"16","SC/P",939,3495,1704.424217393,139.8,1874.02412458338,68.17696869572,5.592,12.1918756608941,0.14888178913738,0.231115287240564,3.71547394011304
"17","SC/S",613,2293,746.938979604,91.72,682.374542903223,29.87755918416,3.6688,8.14368708682948,0.149624796084829,0.228640381427471,5.50285322630577
"18","SP/P",2375,9030,22586.87007748,361.2,95578.9896679844,903.4748030992,14.448,62.5328628944629,0.152084210526316,0.547435283649592,1.71585484221962
"19","SP/S",585,2060,2368.37124515,82.4,7495.9347239862,94.734849806,3.296,28.7423694799757,0.140854700854701,0.839153499838286,5.72235653998151
"20","SSC/P",993,3826,6685.31403517,153.04,20877.173306843,267.4125614068,6.1216,43.6834424671328,0.154118831822759,0.626910535959347,2.81283841447437
"21","SSC/S",491,1848,1749.18567805,73.92,4188.77538238546,69.967427122,2.9568,23.6632261640963,0.150549898167006,0.681567162282799,5.64534873144717
"22","VHL/P",246,919,752.59692556,36.76,2563.71503775115,30.1038770224,1.4704,20.4732569521219,0.149430894308943,1.20291667859509,11.5160801994527
"23","VHL/S",17,66,39.11150897,2.64,105.919397449759,1.5644603588,0.1056,14.8149655189394,0.155294117647059,3.55159531129316,46.9871279905142
"24","VHnL/P",156,623,58.04634688,24.92,108.416966935701,2.3218538752,0.9968,2.32930765971108,0.15974358974359,0.408587682679773,34.3806819469992
