"","Estrato","NumSitios","NumCong","yi","ai","yi2","yiai","ai2","AreaHa","ER_Carboles","Prom_ai","f","SdER_Carboles","U_Carboles"
"1","BC",21,6,0.73447320817565,0.84,0.728001572870658,0.0697049526053658,0.1296,34995,0.874372866875774,0.14,0.000171453064723532,1.09503148534352,245.462981821717
"2","BCO/P",10752,2854,241.288446909514,430.08,631.717116667695,36.8027268087639,66.5184,12834391,0.561031545083505,0.150693763139453,0.000222371283530321,0.0574945652641005,20.0860983495793
"3","BCO/S",2651,730,45.0294443001789,106.04,89.4716739718866,6.73594972976059,16.0752,3859934,0.424645834592408,0.145260273972603,0.000189122404683603,0.0878355330266644,40.5414655479916
"4","BE/P",7811,2095,178.763081285233,312.44,243.927700047853,27.2533513000957,47.9824,10623200,0.572151713241688,0.149136038186158,0.000197209880262068,0.0483825604619852,16.5742435635132
"5","BE/S",3614,988,75.6172520195481,144.56,77.4510539538167,11.5146727263245,22.0608,4832913,0.523085583975845,0.146315789473684,0.000204431571600813,0.0584926178406913,21.9171650834578
"6","BM/P",659,203,43.5169022976875,26.36,115.8096808243,6.47061289843005,3.7712,1293356,1.65086882768162,0.129852216748768,0.000156956012111128,0.389147771807042,46.2017102723378
"7","BM/S",312,94,3.38210628318846,12.48,22.4116709380762,0.525802588577247,1.84,527074,0.271002106024716,0.132765957446809,0.00017834307896045,0.380057619442488,274.873485315032
"8","EOTL/P",81,21,-2.0024460691806,3.24,4.34387355645382,-0.237227390989015,0.5072,248857,-0.618038910240924,0.154285714285714,8.43858119321538e-05,0.651535908804845,-206.622974718483
"9","EOTL/S",94,24,0.0781423810954833,3.76,0.108072128013918,0.0125746043041563,0.5952,149566,0.0207825481636924,0.156666666666667,0.000160464276640413,0.0891952161276077,841.199174582117
"10","EOTnL/P",7,2,0,0.28,0,0,0.04,136465,0,0.14,1.46557725424101e-05,0,NA
"11","MXL/P",3958,1014,-29.0803740937963,158.32,35.8593787004288,-4.60199540224208,25.0048,17895779,-0.18368098846511,0.156134122287968,5.66614060220569e-05,0.0373918689634761,-39.8996454564126
"12","MXL/S",496,128,0.551319340502857,19.84,1.8796053201252,0.0755185737516827,3.12,2078332,0.0277882732108295,0.155,6.15878502568406e-05,0.0693385526112277,489.06803991348
"13","MXnL/P",2509,635,6.2602079753361,100.36,18.7990972685755,1.01176035112356,15.9312,33527336,0.0623775206789169,0.158047244094488,1.89397690290693e-05,0.043162115746376,135.622169560661
"14","MXnL/S",227,57,-0.90284160074365,9.08,0.44603582526603,-0.144454656118984,1.448,2547388,-0.0994318943550276,0.159298245614035,2.23758610780925e-05,0.0729971638706602,-143.891899188441
"15","P",5291,1396,20.0925657383541,211.64,83.0936650563995,3.1002349222823,32.664,29998266,0.0949374680511914,0.151604584527221,4.65360231154694e-05,0.0430092010914442,88.793219231185
"16","SC/P",2142,578,41.9252738593362,85.68,93.5185742991007,6.19991034386213,13.1328,10620137,0.489323924595427,0.148235294117647,5.44249099611427e-05,0.111182935017213,44.5346204590165
"17","SC/S",1413,385,41.2769085752978,56.52,55.0516172759175,6.06645894948384,8.6064,6512927,0.730306238062594,0.146805194805195,5.91132067041439e-05,0.126241076955463,33.8806514222189
"18","SP/P",5356,1410,109.792162327798,214.24,709.972305920766,16.4222771341229,33.4816,7888741,0.512472751716758,0.151943262411348,0.000178735745032065,0.12369800496905,47.3094596594941
"19","SP/S",989,287,18.9963688956199,39.56,78.6595009884224,2.8954696832255,5.9568,1673248,0.480191326987359,0.137839721254355,0.000171522691197001,0.222546137910844,90.8367989571661
"20","SSC/P",2601,678,145.667150307226,104.04,195.238915546618,22.6333733085741,16.3216,2753921,1.40010717327207,0.153451327433628,0.000246194426056521,0.123111233180743,17.2342533229324
"21","SSC/S",682,190,17.5306147239326,27.28,30.7629877670887,2.60207150598117,4.1312,841099,0.642617841786385,0.143578947368421,0.000225894930323303,0.198327701808515,60.4904299675369
"22","VHL/P",454,123,23.6194663682212,18.16,40.8006643212022,3.69699169617769,2.8,1039478,1.3006314079417,0.147642276422764,0.000118328622635592,0.331361290609339,49.9348336222416
"23","VHL/S",43,11,1.31047071440164,1.72,0.634713408106187,0.209675314304263,0.2704,74888,0.761901578140489,0.156363636363636,0.000146886016451234,0.418974441340488,107.781625420906
"24","VHnL/P",295,78,1.25976873110173,11.8,1.10975493699231,0.19774137966515,1.816,1376999,0.106760061957774,0.151282051282051,5.66449213107635e-05,0.0889750540459296,163.348636870404
