 cves , cves2_pmn , cves3_pmn , cves4_pmn 
ACUI,118.3,65435.7,92476.2
AGR,29349317.6,31125742.5,32383153
AH,1118017.1,1265838.1,1605034.4
BC,10596.3,31978.6,37350.7
BCO/P,14073498.5,13191853.5,12916771.5
BCO/S,3007713.6,3684114.7,3920676.8
BE/P,11738564,10910566.4,10708651.8
BE/S,4058164.8,4698940.3,4920073.4
BM/P,1320739.7,1263362.4,1300704
BM/S,493321.6,560248.7,541573.1
EOTL/P,350886.3,262201.4,270230.5
EOTL/S,164614.1,155765.8,157748.2
EOTnL/P,169954.3,156443.3,154700
H2O,110106624,110109034.7,110140882.3
MXL/P,19100046.4,18576183.4,18501770.3
MXL/S,2567468.3,2487824,2437423.9
MXnL/P,35199691.3,34741622.5,34105690.3
MXnL/S,2492233.5,2531541.3,2660600.2
NA,27930267.5,27931059.4,27962169.2
OT,961276.6,971452.2,996677.7
P,30548009.7,31549662.9,31116487
SC/P,11310999.5,10980787,10896213.7
SC/S,7501794.4,6812025.5,6799071.2
SP/P,8426599.4,7933957.5,8162564.8
SP/S,2550531.8,2576898.3,2122608.4
SSC/P,2561134.4,2906668,2990571.9
SSC/S,2151626.5,1859838.8,1451458.9
VHL/P,1159748.7,1088865.7,1097953.5
VHL/S,9019.8,45603.5,78105.8
VHnL/P,1525027.1,1482089.1,1428189.4
VHnL/S,321.7,321.7,344.8
