Cves4_Cves5_pmn ,AreasCves4_Cves5_pmn 
ACUI - ACUI,83213
AGR - AGR,0
AGR - AGR,0
AGR - AGR,29713693
AGR - AGR,1600427
H2O - H2O,2755763
AH - AH,1589452
BC - BC,34995
BCO/P - BCO/P,12834391
BCO/S - BCO/S,3859934
BE/P - BE/P,10623200
BE/S - BE/S,4832913
BM/P - BM/P,1293356
BM/S - BM/S,527074
EOTL/P - EOTL/P,248857
EOTL/S - EOTL/S,149566
EOTnL/P - EOTnL/P,136465
MXL/P - MXL/P,17895779
MXL/S - MXL/S,2078332
MXnL/P - MXnL/P,33527336
MXnL/S - MXnL/S,2547388
OT - OT,904957
PE - PE,11767
P - P,29998266
SC/P - SC/P,10620137
SC/S - SC/S,6512927
SP/P - SP/P,7888741
SP/S - SP/S,1673248
SSC/P - SSC/P,2753921
SSC/S - SSC/S,841099
VHL/P - VHL/P,1039478
VHL/S - VHL/S,74888
VHnL/P - VHnL/P,1376999
VHnL/S - VHnL/S,344
