pf_redd_clave_subcat_leno_pri_sec,pf_redd_ipcc_2003
AH,Asentamientos
ACUI,Humedales
H2O,Humedales
NA,No Aplica
null,null
OT,Otras Tierras
EOTnL/P,Praderas
EOTnL/S,Praderas
MXnL/P,Praderas
MXnL/S,Praderas
P,Praderas
VHnL/P,Praderas
VHnL/S,Praderas
AGR,Tierras Agricolas
BC,Tierras Forestales
BCO/P,Tierras Forestales
BCO/S,Tierras Forestales
BE/P,Tierras Forestales
BE/S,Tierras Forestales
BM/P,Tierras Forestales
BM/S,Tierras Forestales
EOTL/P,Tierras Forestales
EOTL/S,Tierras Forestales
MXL/P,Tierras Forestales
MXL/S,Tierras Forestales
SC/P,Tierras Forestales
SC/S,Tierras Forestales
SP/P,Tierras Forestales
SP/S,Tierras Forestales
SSC/P,Tierras Forestales
SSC/S,Tierras Forestales
VHL/P,Tierras Forestales
VHL/S,Tierras Forestales
